-;Room heating plant sens. load;Room hum. plant load;System air heating load;Room cooling plant sens. load;Room dehum. plant load;System air sens. clg. load;System air lat. clg. load;Lights electricity;Equip electricity
152;173721;0;5796;0;0;0;0;84300;20617
153;94755;0;23315;0;0;0;0;81533;55033
154;66081;0;62190;43;0;0;0;86802;63994
155;54651;0;67361;488;0;0;0;82161;64103
156;44571;0;55807;0;0;0;0;79554;62021
157;62828;0;47026;0;0;0;0;80825;38510
158;52869;0;51750;0;0;0;0;91002;57973
159;59311;0;58444;0;0;0;0;85544;65046
160;73631;0;59198;0;0;0;0;84226;56425
161;102654;0;36537;0;0;0;0;85709;19267
162;182104;0;16412;0;0;0;0;5275;4725
163;45393;0;6456;0;0;0;0;5275;4725
164;60190;0;5180;0;0;0;0;5275;5400
165;89449;0;5151;0;0;0;0;5275;5400
166;98796;0;5129;0;0;0;0;5275;5400
167;104814;0;5125;0;0;0;0;3956;4050
168;112822;0;5139;0;0;0;0;0;3375
169;116159;0;5137;0;0;0;0;0;3375
170;117932;0;5121;0;0;0;0;0;3375
171;119255;0;5090;0;0;0;0;0;3375
172;119964;0;5044;0;0;0;0;0;3375
173;122122;0;5074;0;0;0;0;0;3375
174;125460;0;5166;0;0;0;0;0;3375
175;410770;0;5292;0;0;0;0;4287;3484
176;185020;0;5401;0;0;0;0;87926;20617
177;105005;0;22235;0;0;0;0;92245;55559
178;82336;0;72066;0;0;0;0;96399;66623
179;69937;0;89117;346;0;0;0;89446;69361
180;73243;0;62939;0;0;0;0;86280;62021
181;92413;0;49898;0;0;0;0;86364;38510
182;69646;0;61878;0;0;0;0;95808;59550
183;68561;0;73720;0;0;0;0;89938;67675
184;82749;0;67831;0;0;0;0;87792;57477
185;114918;0;38054;0;0;0;0;89305;19267
186;179102;0;16502;0;0;0;0;5275;4725
187;42186;0;6473;0;0;0;0;5275;4725
188;59691;0;5164;0;0;0;0;5275;5400
189;88122;0;5105;0;0;0;0;5275;5400
190;98093;0;5098;0;0;0;0;5275;5400
191;104871;0;5125;0;0;0;0;3956;4050
192;112406;0;5139;0;0;0;0;0;3375
193;115945;0;5153;0;0;0;0;0;3375
194;118892;0;5167;0;0;0;0;0;3375
195;121618;0;5182;0;0;0;0;0;3375
196;123948;0;5197;0;0;0;0;0;3375
197;125781;0;5197;0;0;0;0;0;3375
198;127420;0;5212;0;0;0;0;0;3375
199;126975;0;5212;0;0;0;0;3956;3375
200;146825;0;5227;0;0;0;0;7522;4725
201;137029;0;5884;0;0;0;0;7522;5250
202;124589;0;17057;0;0;0;0;7522;6004
203;106129;0;26976;0;0;0;0;4884;8633
204;106202;0;10306;0;0;0;0;4884;4050
205;105821;0;5363;0;0;0;0;4884;4050
206;101433;0;12438;0;0;0;0;4884;5627
207;109817;0;18201;0;0;0;0;4884;6678
208;128131;0;13343;0;0;0;0;4884;4426
209;140532;0;6842;0;0;0;0;8840;3375
210;122659;0;5395;0;0;0;0;5275;4725
211;132063;0;5410;0;0;0;0;5275;4725
212;137786;0;5410;0;0;0;0;5275;5400
213;140429;0;5395;0;0;0;0;5275;5400
214;142648;0;5426;0;0;0;0;5275;5400
215;146136;0;5502;0;0;0;0;3956;4050
216;151742;0;5502;0;0;0;0;0;3375
217;151739;0;5410;0;0;0;0;0;3375
218;151085;0;5334;0;0;0;0;0;3375
219;150251;0;5242;0;0;0;0;0;3375
220;148293;0;5105;0;0;0;0;0;3375
221;144780;0;4891;0;0;0;0;0;3375
222;142231;0;4738;0;0;0;0;0;3375
223;139578;0;4661;0;0;0;0;3956;3375
224;139230;0;4539;0;0;0;0;4674;4725
225;131706;0;4383;0;0;0;0;4674;4762
226;122434;0;4323;0;0;0;0;4674;3561
227;116317;0;4912;0;0;0;0;2037;3747
228;113748;0;4681;0;0;0;0;2037;4050
229;111429;0;4177;0;0;0;0;2037;4050
230;110806;0;4131;0;0;0;0;2037;4161
231;113174;0;4192;0;1;0;0;2037;4236
232;117548;0;3938;0;19;0;0;2037;3449
233;115431;0;3551;0;49;0;0;5993;3375
234;112159;0;3273;0;66;0;0;5275;4725
235;107627;0;3041;0;87;0;0;5275;4725
236;97313;0;2735;0;132;0;0;5275;5400
237;93507;0;2506;0;214;0;0;5275;5400
238;90816;0;2369;0;259;0;0;5275;5400
239;91563;0;2353;0;269;0;0;3956;4050
240;99017;0;2521;0;213;0;0;0;3375
241;103768;0;2705;0;126;0;0;0;3375
242;105491;0;2766;0;103;0;0;0;3375
243;106197;0;2797;0;103;0;0;0;3375
244;107985;0;2873;0;91;0;0;0;3375
245;108125;0;2858;0;145;0;0;0;3375
246;107533;0;2812;0;159;0;0;0;3375
247;402187;0;3011;0;121;0;0;4287;3484
248;156115;0;3192;0;110;0;0;85079;20617
249;86244;0;8004;0;97;0;0;89397;55070
250;68148;0;31393;2;102;0;0;89003;64180
251;55912;0;37895;147;86;0;0;84011;64475
252;41864;0;31562;0;94;0;0;81276;62021
253;46887;0;26000;0;79;0;0;78722;38510
254;22179;0;28143;230;45;0;0;85227;58085
255;24786;0;31641;2519;29;0;0;80178;65232
256;46565;0;32125;89;27;0;0;83639;56499
257;82637;0;20831;0;25;0;0;86397;19267
258;140793;0;9584;0;21;0;0;5275;4725
259;32893;0;3640;0;25;0;0;5275;4725
