,CCA Cooling,Cooling plant sensible load,Radiators,CCA Heating,Heating plant sensible load,AHU Cooling,AHU Heating
7536,0,0,17447,0,17447,0,1955
7537,0,0,19833,0,19833,0,1952
7538,0,0,21492,0,21492,0,1949
7539,0,0,22220,0,22220,0,1947
7540,0,0,23433,0,23433,0,1944
7541,0,0,24384,0,24384,0,1943
7542,0,0,24783,0,24783,0,1943
7543,0,0,11356,0,11356,0,1945
7544,0,0,8082,0,8082,0,1799
7545,0,0,11761,0,11761,0,1799
7546,0,0,11709,0,11709,0,1800
7547,0,0,9668,0,9668,0,1806
7548,0,0,12796,0,12796,0,1810
7549,0,0,11859,0,11859,0,1810
7550,0,0,10926,0,10926,0,1811
7551,0,0,10911,0,10911,0,1811
7552,0,0,13262,0,13262,0,1811
7553,0,0,14905,0,14905,0,1811
7554,0,0,10572,0,10572,0,1956
7555,0,0,8891,0,8891,0,1957
7556,0,0,6604,0,6604,0,1958
7557,0,0,17566,0,17566,0,1955
7558,0,0,19064,0,19064,0,1955
7559,0,0,19620,0,19620,0,1953
7560,0,0,21907,0,21907,0,1949
7561,0,0,22888,0,22888,0,1948
7562,0,0,23558,0,23558,0,1948
7563,0,0,24397,0,24397,0,1948
7564,0,0,25544,0,25544,0,1946
7565,0,0,26389,0,26389,0,1945
7566,0,0,27396,0,27396,0,1943
7567,0,0,12203,0,12203,0,1943
7568,0,0,9482,0,9482,0,1796
7569,0,0,14570,0,14570,0,1798
7570,0,0,12924,0,12924,0,1801
7571,0,0,10518,0,10518,0,1803
7572,0,0,13307,0,13307,0,1803
7573,0,0,12636,0,12636,0,1802
7574,0,0,12451,0,12451,0,1802
7575,0,0,12289,0,12289,0,1802
7576,0,0,15082,0,15082,0,1800
7577,0,0,17080,0,17080,0,1799
7578,0,0,13223,0,13223,0,1941
7579,0,0,12532,0,12532,0,1940
7580,0,0,9155,0,9155,0,1940
7581,0,0,23522,0,23522,0,1938
7582,0,0,25937,0,25937,0,1936
7583,0,0,26681,0,26681,0,1934
7584,6897,6897,28707,36345,65053,0,1934
7585,6591,6591,30108,32441,62549,0,1933
7586,6525,6525,31777,32192,63970,0,2004
7587,6476,6476,33306,32073,65380,0,2622
7588,6431,6431,34080,32009,66089,0,3134
7589,6389,6389,34125,31754,65879,0,3175
7590,6349,6349,34656,31504,66160,0,3401
7591,6309,6309,17597,31281,48879,0,2061
7592,6270,6270,15613,31080,46694,0,1777
7593,6233,6233,21807,30896,52704,0,1777
7594,6197,6197,19855,30722,50578,0,1779
7595,6162,6162,17723,30560,48283,0,1781
7596,6129,6129,21286,30406,51692,0,1779
7597,6098,6098,20073,30259,50332,0,1777
7598,6068,6068,19692,30121,49814,0,1778
7599,6040,6040,19764,29993,49757,0,1775
7600,6013,6013,21361,29872,51234,0,1771
7601,5987,5987,22554,29761,52315,0,1771
7602,5961,5961,18514,29661,48175,0,1919
7603,5936,5936,17228,29566,46795,0,1919
7604,5912,5912,11191,29473,40664,0,1923
7605,5888,5888,27342,29322,56665,0,1927
7606,5865,5865,29707,29180,58888,0,1931
7607,5842,5842,30977,29046,60024,0,1932
7608,4142,4142,31400,32191,63592,0,1932
7609,4194,4194,32219,31525,63744,0,1948
7610,4180,4180,34302,31299,65601,0,2383
7611,4158,4158,34982,31129,66112,0,2695
7612,4134,4134,36040,30983,67023,0,3180
7613,4109,4109,36967,30855,67823,0,3900
7614,4084,4084,37714,30720,68435,0,4653
7615,4059,4059,20395,30597,50992,0,2437
7616,4035,4035,17610,30403,48014,0,1769
7617,4011,4011,24139,30271,54411,0,1769
7618,3989,3989,22447,30050,52497,0,1768
7619,3969,3969,20669,29736,50406,0,1766
7620,3952,3952,23952,29575,53527,0,1767
7621,3937,3937,23093,29474,52567,0,1766
7622,3923,3923,21729,29419,51149,0,1760
7623,3911,3911,21001,29386,50388,0,1761
7624,3901,3901,23852,29352,53205,0,1760
7625,3892,3892,26169,29332,55501,0,1759
7626,3883,3883,22295,29199,51494,0,1908
7627,3874,3874,21644,28876,50520,0,1909
7628,3865,3865,15207,28571,43778,0,1910
7629,3856,3856,33194,28289,61484,0,2638
7630,3848,3848,35058,28029,63088,0,4153
7631,3839,3839,35590,27788,63379,0,4742
7632,1722,1722,37767,35408,73175,0,5522
7633,1879,1879,38425,33110,71536,0,6496
7634,1908,1908,38825,32001,70827,0,7084
7635,1915,1915,39469,31419,70889,0,7761
7636,1915,1915,40190,31097,71288,0,8452
7637,1911,1911,40607,30914,71522,0,8794
7638,1904,1904,40785,30807,71592,0,8703
7639,1896,1896,24115,30757,54873,0,4467
7640,1888,1888,18900,30719,49620,0,1863
7641,1879,1879,25041,30678,55719,0,1769
7642,1871,1871,23432,30627,54059,0,1768
7643,1866,1866,24363,30585,54948,0,1769
7644,1862,1862,29428,30542,59971,0,1777
7645,1860,1860,29234,30425,59660,0,1783
7646,1860,1860,28216,30168,58384,0,1787
7647,1860,1860,26830,29922,56753,0,1791
7648,1862,1862,27754,29691,57445,0,1793
7649,1865,1865,27370,29474,56845,0,1796
7650,1867,1867,21098,29277,50376,0,1942
7651,1870,1870,18437,29089,47527,0,1942
7652,1873,1873,11989,28913,40902,0,1944
7653,1876,1876,26847,28748,55595,0,1947
7654,1879,1879,27356,28586,55943,0,1948
7655,1882,1882,27239,28433,55673,0,1950
7656,532,532,28344,34546,62890,0,1951
7657,669,669,28451,32790,61242,0,1951
7658,712,712,28797,31949,60746,0,1951
7659,739,739,29122,31517,60639,0,1951
7660,761,761,29488,31273,60761,0,1951
7661,781,781,29713,31127,60840,0,1951
7662,798,798,29866,31034,60900,0,1950
7663,813,813,12253,30979,43233,0,1953
7664,827,827,10386,30929,41316,0,1808
7665,840,840,18367,30879,49247,0,1809
7666,852,852,16866,30828,47694,0,1814
7667,865,865,14934,30775,45710,0,1818
7668,878,878,18682,30722,49405,0,1819
7669,892,892,18009,30539,48548,0,1819
7670,907,907,18644,30305,48950,0,1819
7671,929,929,18292,30088,48380,0,1819
7672,952,952,19243,29884,49127,0,1818
7673,980,980,19386,29696,49082,0,1817
7674,1008,1008,13752,29522,43275,0,1958
7675,1034,1034,12920,29361,42281,0,1958
